사원번호,이름,성별,나이,생년월일,주민등록번호,병역,입사일,근속기간,학력,출신대학,학점,채용경로,계약형태,이전직장명,이전최종직급,이전담당업무,회사명,사업장위치,부서,팀,부서레벨,직급,직책,직급레벨,퇴직구분,퇴직일자,이메일,전화번호,주소,연봉,잔업시간,미사용휴가일수,급여은행,계좌번호,4대보험가입여부,성과점수,인사고과_2020,인사고과_2021,인사고과_2022,인사고과_2023,인사고과_2024,자격증,TOEIC점수,자격증수당여부,포상이력,징계이력,징계사유
EMP0001,지준서,남,30,1997-09-19,970919-1367382,군필,2024-05-02,2,대졸,연세대학교,3.7,추천,정규직,,,,두리안정보기술,서울 강남,마케팅부,브랜드팀,1,사원,팀원,1,,,jijunseo16@nate.com,010-1647-2192,서울시 마포구 합정동,32000000,10,14,우리은행,1002-324-124157,가입,62,,,,,C,,713,비해당,,,
EMP0002,심건우,남,31,1996-12-04,961204-1373441,군필,2023-04-07,3,고졸,,,인턴전환,계약직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,대리,팀원,1,,,shimgunwoo82@hanmail.net,010-6530-5216,경기도 성남시 분당구 판교동,45000000,14,6,기업은행,030-10-433218,가입,72,,,,B,C,,711,비해당,공로상,,
EMP0003,남지유,여,46,1981-09-16,810916-2661762,해당없음,2009-03-24,17,대졸,건국대학교,3.6,공채,정규직,,,,두리안정보기술,서울 여의도,기획부,전략기획팀,1,부장,팀원,2,,,namjiyu_209@naver.com,010-9625-5135,서울시 노원구 상계동,80000000,12,13,하나은행,200-686568-0403,가입,90,A,A,A,B,A,,772,비해당,,정직,업무태만
EMP0004,배하린,여,33,1994-12-08,941208-2148823,해당없음,2020-10-08,5,전문대졸,영진전문대학교,3.3,추천,정규직,,,,두리안정보기술,서울 여의도,개발부,백엔드팀,1,대리,팀원,1,자발적퇴직,2025-09-16,baeharin.4@naver.com,010-7525-2260,서울시 강동구 천호동,46200000,20,1,우리은행,1006-097-306318,가입,76,B,C,D,C,B,리눅스마스터,,해당,,,
EMP0005,주민재,남,37,1990-07-25,900725-1186023,군필,2015-09-11,10,대졸,부산대학교,3.2,공채,정규직,,,,두리안정보기술,서울 강남,인사부,채용팀,3,과장,팀원,1,,,juminjae95@gmail.com,010-6050-8286,서울시 노원구 상계동,59000000,20,4,카카오뱅크,333-63-3362450,가입,80,B,B,B,B,B,빅데이터분석기사,816,해당,,,
EMP0006,조수아,여,26,2001-09-17,010917-4275329,해당없음,2024-08-18,1,대졸,고려대학교,3.4,공채,계약직,,,,두리안정보기술,서울 강남,개발부,백엔드팀,1,사원,팀원,1,,,josua_901@nate.com,010-9123-4203,서울시 강서구 마곡동,39600000,9,9,카카오뱅크,333-16-4559337,가입,73,,,,,C,빅데이터분석기사,637,해당,,,
EMP0007,장재원,남,30,1997-06-15,970615-1559753,군필,2024-10-13,1,대학원졸,중앙대학교,3.2,경력,정규직,네이버,과장,프로젝트관리,두리안정보기술,서울 강남,마케팅부,디지털마케팅팀,1,사원,팀원,1,,,jangjaewon_611@daum.net,010-3525-7932,서울시 은평구 불광동,35000000,18,13,하나은행,162-234827-3426,가입,62,,,,,C,,987,비해당,,,
EMP0008,유재현,남,40,1987-12-14,871214-1821068,군필,2017-09-17,8,고졸,,,공채,정규직,,,,두리안정보기술,경기 판교,개발부,AI팀,1,과장,팀원,1,,,yoojaehyun54@gmail.com,010-5840-7815,서울시 강남구 논현동,61600000,25,12,기업은행,010-96-001338,가입,79,B,B,C,B,C,정보처리기사,613,해당,,,
EMP0009,방준서,남,31,1996-04-17,960417-1295440,미필,2021-08-26,4,대졸,고려대학교,3,추천,계약직,,,,두리안정보기술,서울 강남,영업부,해외영업팀,1,대리,팀원,1,,,bangjunseo_706@naver.com,010-5560-2025,경기도 고양시 일산동구 장항동,45000000,16,6,신한은행,180-991-614044,가입,68,,C,C,C,C,빅데이터분석기사,,해당,,,
EMP0010,성현우,남,32,1995-05-22,950522-1702727,군필,2022-08-04,3,고졸,,,추천,계약직,,,,두리안정보기술,서울 강남,기획부,사업기획팀,1,대리,팀원,1,,,sunghyunwoo81@daum.net,010-3298-4065,서울시 용산구 이태원동,45000000,16,15,토스뱅크,100-5421-9677,가입,73,,,B,C,D,SQLD,855,해당,MVP,,
